Departure_Station,Return_Station,,1
0063 Robson & Granville,0196 Drake & Hornby,,243
0053 Keefer & Abbott,0083 Aquatic Centre,,119
0026 Beatty & Robson,0078 Nelson & Mainland,,34
0012 Dunsmuir & Richards,0011 Ontario & Seawall,,117
0012 Dunsmuir & Richards,0044 Richards & Beach,,23
0063 Robson & Granville,0032 Comox & Denman,,39
0008 8th & Ash,0092 Chilco & Barclay,,110
0212 Union & Gore,0150 Alexander & Main,,14
0030 Abbott & Cordova,0197 1st & Main,,33
0007 12th & Yukon,0060 Bidwell & Burnaby,,3
0002 Burrard Station,0173 Columbia & 2nd,,12
0002 Burrard Station,0002 Burrard Station,,1
0027 Beatty & Nelson,0139 Burrard & 4th,,11
0218 Carrall & Seawall,0173 Columbia & 2nd,,57
0105 Stanley Park - Totem Poles,0083 Aquatic Centre,,291
0019 Robson & Hornby,0066 Anderson & 2nd,,33
0002 Burrard Station,0005 Dunsmuir & Beatty,,179
0002 Burrard Station,0088 Harwood & Bute,,150
0004 Yaletown-Roundhouse Station,0054 Expo & Carrall,,25
0171 5th & Yukon,0167 Cordova & Columbia,,3
0071 14th & Granville,0110 5th & Arbutus,,14
0036 Bute & Robson,0040 Cardero & Davie,,27
0165 Columbia & 4th,0165 Columbia & 4th,,1
0014 Canada Place,0041 Cardero & Robson,,193
0089 Burrard & Drake,0204 York & Yew,,49
0601 Olympic Village Station,0027 Beatty & Nelson,,39
0081 7th & Heather,0140 Burrard & 7th,,83
0167 Cordova & Columbia,0011 Ontario & Seawall,,69
0601 Olympic Village Station,0060 Bidwell & Burnaby,,77
0107 8th & Ontario,0041 Cardero & Robson,,3
0112 10th & Oak,0174 1st & Ontario,,10
0039 Helmcken & Burrard,0079 Nelson & Richards,,58
0024 Hornby & Pender,0032 Comox & Denman,,101
0064 Expo & Smithe,0032 Comox & Denman,,117
0037 Hornby & Nelson,0093 Chilco & Robson,,21
0008 8th & Ash,0066 Anderson & 2nd,,129
0082 Richards & Davie,0024 Hornby & Pender,,76
0041 Cardero & Robson,0044 Richards & Beach,,8
0140 Burrard & 7th,0087 Broughton & Burnaby,,23
0012 Dunsmuir & Richards,0060 Bidwell & Burnaby,,15
0015 Granville & Georgia,0040 Cardero & Davie,,31
0053 Keefer & Abbott,0004 Yaletown-Roundhouse Station,,97
0066 Anderson & 2nd,0066 Anderson & 2nd,,1
0107 8th & Ontario,0010 Stamps Landing,,55
0066 Anderson & 2nd,0139 Burrard & 4th,,44
0037 Hornby & Nelson,0057 Marinaside & Cooperage,,36
0125 Hamilton & Robson,0041 Cardero & Robson,,6
0130 Heather & 16th,0073 Ontario & 5th,,4
0037 Hornby & Nelson,0066 Anderson & 2nd,,53
0076 Cypress & 4th,0030 Abbott & Cordova,,42
0123 Georgia & Thurlow,0032 Comox & Denman,,7
0140 Burrard & 7th,0048 Comox & Broughton,,4
0159 Vine & 4th,0039 Helmcken & Burrard,,59
0209 Stanley Park - Information Booth,0209 Stanley Park - Information Booth,,1
0055 Keefer & Columbia,0047 Chilco & Beach,,6
0088 Harwood & Bute,0039 Helmcken & Burrard,,54
0083 Aquatic Centre,0092 Chilco & Barclay,,122
0218 Carrall & Seawall,0073 Ontario & 5th,,43
0050 Bute & Comox,0196 Drake & Hornby,,42
0176 10th & Ontario,0171 5th & Yukon,,57
0176 10th & Ontario,0007 12th & Yukon,,12
0108 Cypress & 1st,0044 Richards & Beach,,3
0030 Abbott & Cordova,0079 Nelson & Richards,,78
0089 Burrard & Drake,0087 Broughton & Burnaby,,52
0026 Beatty & Robson,0069 7th & Granville,,5
0024 Hornby & Pender,0030 Abbott & Cordova,,56
0102 Stanley Park - Second Beach North,0052 Cambie & Water,,17
0139 Burrard & 4th,0083 Aquatic Centre,,29
0007 12th & Yukon,0172 10th & Columbia,,13
0007 12th & Yukon,0007 12th & Yukon,,1
0088 Harwood & Bute,0015 Granville & Georgia,,76
0001 10th & Cambie,0017 Marinaside & Davie,,13
0138 Richards & Helmcken,0196 Drake & Hornby,,8
0014 Canada Place,0014 Canada Place,,1
0071 14th & Granville,0153 Arbutus Greenway & Fir,,7
0129 Richards & Robson,0026 Beatty & Robson,,22
0196 Drake & Hornby,0055 Keefer & Columbia,,10
0037 Hornby & Nelson,0032 Comox & Denman,,211
0154 Kitsilano Beach Park,0108 Cypress & 1st,,4
0025 Homer & Robson,0002 Burrard Station,,13
0167 Cordova & Columbia,0064 Expo & Smithe,,14
0148 Quebec & Milross,0037 Hornby & Nelson,,13
0150 Alexander & Main,0030 Abbott & Cordova,,40
0109 7th & Arbutus,0089 Burrard & Drake,,33
0102 Stanley Park - Second Beach North,0105 Stanley Park - Totem Poles,,3713
0011 Ontario & Seawall,0057 Marinaside & Cooperage,,175
0102 Stanley Park - Second Beach North,0102 Stanley Park - Second Beach North,,1
0047 Chilco & Beach,0057 Marinaside & Cooperage,,50
0082 Richards & Davie,0173 Columbia & 2nd,,11
0080 Laurel & Broadway,0064 Expo & Smithe,,37
0026 Beatty & Robson,0167 Cordova & Columbia,,6
0201 Shaw Tower,0030 Abbott & Cordova,,102
0039 Helmcken & Burrard,0024 Hornby & Pender,,161
0108 Cypress & 1st,0155 Arbutus & McNicoll,,3
0039 Helmcken & Burrard,0039 Helmcken & Burrard,,1
0108 Cypress & 1st,0108 Cypress & 1st,,1
0198 6th & Main,0055 Keefer & Columbia,,17
0997 WareHouse Workshop,0004 Yaletown-Roundhouse Station,,1
0007 12th & Yukon,0017 Marinaside & Davie,,4
0030 Abbott & Cordova,0174 1st & Ontario,,93
0101 Stanley Park - Vancouver Aquarium,0104 Stanley Park - Second Beach South,,103
